experiment,joint_name,segment,split,rmse_rad,mae_rad,lag_s,shape_correlation,peak_error_rad,overshoot_rad,peak_velocity_error_rad_s,settling_time_s,settling_error_rad,maximum_ctrl_saturation_fraction
fixed_timestep_0005,left_wrist_yaw_joint,standing_pre_roll,validation,1.4665795604055012e-14,7.378708259477206e-15,,,5.5299514967188657e-14,5.5299514967188657e-14,0.006105422974046659,,,0.0003424226503639
fixed_timestep_0005,left_wrist_yaw_joint,motion_onset,fit,0.43636822216093857,0.3816294251347852,0.34,0.9985796116866967,0.6718251299624206,0.00017545915222010044,1.2717093079886927,,,0.0182771181908592
fixed_timestep_0005,left_wrist_yaw_joint,peak_gesture,validation,0.2565001308154945,0.16500153892060085,0.24,0.9873641146446647,0.6546981362338264,0.0,1.2971541222992984,,,0.0159146254066232
fixed_timestep_0005,left_wrist_yaw_joint,return_phase,fit,0.322402938175556,0.2276765105230871,-0.42,0.9128611891547168,0.6694920571288139,0.6607380867181455,1.0464645011137201,,,0.0126392768578657
fixed_timestep_0005,left_wrist_yaw_joint,post_roll,validation,0.00030191859897930987,0.00015517636478660867,,,0.0011375663321840004,0.0011375663321840004,0.0095025260562909,,,0.0043345314391361
fixed_timestep_0005,left_wrist_yaw_joint,full_motion,combined,0.34142357010469193,0.25199161848544827,0.38,0.9932351674152768,0.6718251299624206,0.0,1.2971541222992984,0.010203230000044528,0.00015517636478660867,0.0182771181908592
fixed_timestep_0005,right_wrist_yaw_joint,standing_pre_roll,validation,9.268787305763636e-08,4.4975759246751455e-08,,,3.7071031709981495e-07,3.7071031709981495e-07,0.006105422728689806,,,0.0004696180869975
fixed_timestep_0005,right_wrist_yaw_joint,motion_onset,fit,0.43682024800508623,0.38277177394888545,0.34,0.9986014392820062,0.6697416319709945,0.00035089545729059986,1.1501638221813613,,,0.0179861257258226
fixed_timestep_0005,right_wrist_yaw_joint,peak_gesture,validation,0.25765050471670387,0.16675459734191456,0.24,0.987588393092531,0.6546146781195294,0.0,1.2034654338566828,,,0.0159629338221128
fixed_timestep_0005,right_wrist_yaw_joint,return_phase,fit,0.32253289403542484,0.22804912210403144,-0.54,0.9559058236640674,0.6682968306946016,0.6600558670825707,0.969848051658676,,,0.0127625345868188
fixed_timestep_0005,right_wrist_yaw_joint,post_roll,validation,0.00032040172299574904,0.00018277518761098378,0.16,0.9055064824503763,0.0011494715046806003,0.0011494715046806003,0.006102145026456426,,,0.0044864876969411
fixed_timestep_0005,right_wrist_yaw_joint,full_motion,combined,0.34194273357655,0.2530783357272223,0.38,0.9933591583810315,0.6697416319709945,0.00035089545729059986,1.2034654338566828,0.010203230000044528,0.00018277518761098378,0.0179861257258226
fixed_timestep_0005,left_wrist_roll_joint,standing_pre_roll,validation,4.8771517556795825e-14,3.0638785159758136e-14,,,1.425005946575908e-13,1.425005946575908e-13,0.007326126100091463,,,0.0178532507520518
fixed_timestep_0005,left_wrist_roll_joint,motion_onset,fit,0.28538736333076636,0.2477268502123106,0.34,0.9983410810440423,0.4400145697952557,0.000174613842761899,0.8219859748699802,,,0.1305296126113885
fixed_timestep_0005,left_wrist_roll_joint,peak_gesture,validation,0.16807453965558458,0.10629788659575388,0.22,0.9868523312481269,0.43357227219806926,0.0,0.8540419352276823,,,0.2735727212589376
fixed_timestep_0005,left_wrist_roll_joint,return_phase,fit,0.21347590370722305,0.14953569066286695,1.0,0.9178423773416324,0.4404091478132334,0.43589738570391995,0.6771088627301889,,,0.1591198972340099
fixed_timestep_0005,left_wrist_roll_joint,post_roll,validation,0.00044429640749562796,0.00026208688389089307,1.0,0.8632271010790842,0.001374710476046601,0.001374710476046601,0.0110489402302777,,,0.0710891592618317
fixed_timestep_0005,left_wrist_roll_joint,full_motion,combined,0.22424735309479835,0.1639021428150172,0.38,0.9929930754628213,0.4404091478132334,0.0,0.8540419352276823,0.010203230000044528,0.00026208688389089307,0.2735727212589376
fixed_timestep_0005,right_wrist_roll_joint,standing_pre_roll,validation,8.176476412293659e-13,4.612633068160462e-13,,,2.758899879384824e-12,2.758899879384824e-12,0.007326126103905965,,,0.0195030301040271
fixed_timestep_0005,right_wrist_roll_joint,motion_onset,fit,0.28757809978377813,0.25129333050849834,0.34,0.9985361483288898,0.4418146211082816,0.00017463619249090054,0.7576823447849312,,,0.1273438792088839
fixed_timestep_0005,right_wrist_roll_joint,peak_gesture,validation,0.16950258491679168,0.10795915545636607,0.24,0.9877026495173556,0.43401078925846387,0.0,0.8411752291359447,,,0.2720794284314978
fixed_timestep_0005,right_wrist_roll_joint,return_phase,fit,0.21483019556212943,0.15114287083952108,-0.5,0.9387892686372309,0.4416193000059513,0.4371468891733334,0.6261971843744594,,,0.153098326463562
fixed_timestep_0005,right_wrist_roll_joint,post_roll,validation,0.00022724517112052308,0.00012206518287558191,,,0.0008219598850046006,0.0008219598850046006,0.0073237527763547975,,,0.0516135821953105
fixed_timestep_0005,right_wrist_roll_joint,full_motion,combined,0.2259102489009395,0.16611672684280987,0.38,0.993265673734675,0.4418146211082816,0.0,0.8411752291359447,0.010203230000044528,0.00012206518287558191,0.2720794284314978
fixed_timestep_0005,left_shoulder_yaw_joint,standing_pre_roll,validation,5.704415256733092e-13,2.973076769893382e-13,,,2.1150997620011935e-12,2.1150997620011935e-12,0.00610542298712698,,,0.021028464376422
fixed_timestep_0005,left_shoulder_yaw_joint,motion_onset,fit,0.27716146549764814,0.23349002808063288,0.24,0.999363128065921,0.452037140209101,0.0003515777340288989,0.8786793703611933,,,0.1070929290606557
fixed_timestep_0005,left_shoulder_yaw_joint,peak_gesture,validation,0.1928587413007441,0.11070111848571838,0.14,0.9996421230053568,0.44340886761648135,0.0,0.9279065691258264,,,0.0648340789828274
fixed_timestep_0005,left_shoulder_yaw_joint,return_phase,fit,0.16774156926758108,0.09465874921034692,0.88,0.9883719568235161,0.44286598170047736,0.44286598170047736,0.8568013559488672,,,0.087695491721158
fixed_timestep_0005,left_shoulder_yaw_joint,post_roll,validation,1.6002561808424537e-05,7.850988991237471e-06,,,6.291564104289951e-05,6.291564104289951e-05,0.006312224595835501,,,0.0211359832367792
fixed_timestep_0005,left_shoulder_yaw_joint,full_motion,combined,0.2143064391756517,0.14196918476595144,0.24,0.9986067314287272,0.452037140209101,0.0,0.9279065691258264,0.010203230000044528,7.850988991237471e-06,0.1070929290606557
fixed_timestep_0005,right_shoulder_yaw_joint,standing_pre_roll,validation,3.3219003074164654e-11,1.7128852602172577e-11,,,1.2343469996123346e-10,1.2343469996123346e-10,0.006105423311937046,,,0.0213480148246436
fixed_timestep_0005,right_shoulder_yaw_joint,motion_onset,fit,0.2765461509738802,0.2321168815332117,0.24,0.9993269385589384,0.4499286554260392,0.00026391914714949966,0.8940699912431465,,,0.107030457030954
fixed_timestep_0005,right_shoulder_yaw_joint,peak_gesture,validation,0.19319672619882305,0.11032907348840437,0.14,0.9996152293169809,0.4440421566939846,0.0,0.956449402937043,,,0.0664529322831519
fixed_timestep_0005,right_shoulder_yaw_joint,return_phase,fit,0.16695995981203532,0.09381191626684864,0.88,0.9865430139934193,0.4445560986621295,0.4445560986621295,0.9378681647020402,,,0.0882629347318193
fixed_timestep_0005,right_shoulder_yaw_joint,post_roll,validation,1.558488986266292e-05,7.617657798154501e-06,,,6.133981218030011e-05,6.133981218030011e-05,0.006105401689782757,,,0.021405321862519
fixed_timestep_0005,right_shoulder_yaw_joint,full_motion,combined,0.21396038794750752,0.14113036366110612,0.24,0.9985637952158549,0.4499286554260392,0.0,0.956449402937043,0.010203230000044528,7.617657798154501e-06,0.107030457030954
fixed_velocity_limit_5,left_shoulder_roll_joint,standing_pre_roll,validation,1.1496544266111032e-10,1.0573594000610436e-10,,,2.0391110154560632e-10,2.0391110154560632e-10,0.006105423080295137,,,0.034801575060578
fixed_velocity_limit_5,left_shoulder_roll_joint,motion_onset,fit,0.38938687359290086,0.32683209991272116,0.24,0.9993691631057049,0.6404753468721969,0.0023889442636699006,1.3328488157560414,,,0.1891695746174834
fixed_velocity_limit_5,left_shoulder_roll_joint,peak_gesture,validation,0.27722126346698023,0.16012191726787564,0.16,0.9996048631724722,0.6238122831986799,0.0,1.3276834792644523,,,0.153175781286242
fixed_velocity_limit_5,left_shoulder_roll_joint,return_phase,fit,0.22974435549252356,0.12848212753605512,0.94,0.9981459467549811,0.6224972355932692,0.6224972355932692,1.1533089093486002,,,0.1676707617860513
fixed_velocity_limit_5,left_shoulder_roll_joint,post_roll,validation,0.0008897941561284119,0.0008321667410768126,,,0.0014944252922705,0.0014944252922705,0.0058916363682779,,,0.033553771339735
fixed_velocity_limit_5,left_shoulder_roll_joint,full_motion,combined,0.30147843804105645,0.19912554391579662,0.24,0.9987312973273034,0.6404753468721969,0.0,1.3328488157560414,0.010203230000776387,0.0008321667410768126,0.1891695746174834
fixed_velocity_limit_5,right_shoulder_roll_joint,standing_pre_roll,validation,3.768399523284313e-10,3.4693551564587976e-10,,,6.632978003656698e-10,6.632978003656698e-10,0.006105422893041941,,,0.0354336705348807
