condition,mode,timestamp_s,sim_time_s,geom1_id,geom2_id,signed_wrist_geom_distance_m,nearest_point_geom1_x_m,nearest_point_geom1_y_m,nearest_point_geom1_z_m,nearest_point_geom2_x_m,nearest_point_geom2_y_m,nearest_point_geom2_z_m
original,arm_only,10.366999999996922,15.366999999996922,67,80,0.44896362965105663,0.218198222227482,0.22121149734474022,0.6676204787722014,0.19497516913251448,-0.22715108507646997,0.667779346588067
original,arm_only,10.367999999996922,15.367999999996922,67,80,0.44896362959841846,0.21819872296981296,0.22121091443562763,0.6676204575100738,0.19497473247792774,-0.22715161938663675,0.6677793042838227
original,arm_only,10.368999999996921,15.368999999996921,67,80,0.4489636295693891,0.21819922434079525,0.22121033296014245,0.6676204355091953,0.19497429538275549,-0.22715215222860852,0.6677792636575597
original,arm_only,10.36999999999692,15.36999999999692,67,80,0.4489636295346768,0.2181997255068082,0.22120975218880637,0.6676204121778377,0.19497385732418732,-0.2271526843184106,0.6677792247273223
original,arm_only,10.37099999999692,15.37099999999692,67,80,0.4489636295218328,0.21820022757153812,0.2212091718046067,0.6676203878179958,0.1949734185115231,-0.22715321595431895,0.6677791877609996
original,arm_only,10.37199999999692,15.37199999999692,67,80,0.4489636295418145,0.21820073014092758,0.22120859189171935,0.667620362283032,0.19497297991320706,-0.22715374713344416,0.6677791533488836
original,arm_only,10.37299999999692,15.37299999999692,67,80,0.4489636295539355,0.21820123289724325,0.22120801117612438,0.6676203350118729,0.19497253989801472,-0.22715427902099045,0.667779120997383
original,arm_only,10.373999999996919,15.373999999996919,67,80,0.44896362955759134,0.21820173597267997,0.22120742919596625,0.6676203058936843,0.19497209833433404,-0.2271548120644552,0.6677790908075432
original,arm_only,10.374999999996918,15.374999999996918,67,80,0.44896362959270014,0.21820223995263507,0.22120684630519416,0.66762027525504,0.19497165658678056,-0.22715534599008974,0.6677790634794099
original,arm_only,10.375999999996917,15.375999999996917,67,80,0.44896362961877195,0.21820274449433982,0.22120626126298815,0.6676202425652187,0.1949712130302046,-0.22715588193171993,0.6677790384747985
original,arm_only,10.376999999996917,15.376999999996917,67,80,0.44896362963543507,0.21820324971636382,0.22120567366040264,0.6676202077428176,0.19497076755252923,-0.22715642028589877,0.6677790158636427
original,arm_only,10.377999999996916,15.377999999996916,67,80,0.4489636296426984,0.21820375573219383,0.22120508310527687,0.6676201707160947,0.19497032004903855,-0.227156961433425,0.6677789957075209
original,arm_only,10.378999999996916,15.378999999996916,67,80,0.44896362964086106,0.21820426265035506,0.2212044892213201,0.6676201314222072,0.19496987042190655,-0.2271575057401356,0.6677789780602469
original,arm_only,10.379999999996915,15.379999999996915,67,80,0.44896362963044134,0.2182047705745036,0.22120389164726104,0.6676200898065481,0.19496941857976247,-0.22715805355765828,0.6677789629684259
original,arm_only,10.380999999996915,15.380999999996915,67,80,0.44896362961211544,0.21820527960355268,0.22120329003604833,0.6676200458220977,0.19496896443728676,-0.2271586052241209,0.6677789504719659
original,arm_only,10.381999999996914,15.381999999996914,67,80,0.4489636295866681,0.21820578983180308,0.22120268405410223,0.667619999428824,0.19496850791483475,-0.227159161064825,0.6677789406045648
original,arm_only,10.382999999996914,15.382999999996914,67,80,0.4489636295549548,0.2182063013490462,0.22120207338061573,0.667619950593161,0.19496804893809067,-0.22715972139288235,0.6677789333941575
original,arm_only,10.383999999996913,15.383999999996913,67,80,0.44896362951787044,0.21820681424069835,0.22120145770689706,0.6676198992874867,0.19496758743774192,-0.22716028650981734,0.6677789288633413
original,arm_only,10.384999999996912,15.384999999996912,67,80,0.44896362947632373,0.21820732858792485,0.22120083673575205,0.6676198454896634,0.19496712334917948,-0.22716085670613675,0.6677789270297663
original,arm_only,10.385999999996912,15.385999999996912,67,80,0.4489636294312192,0.21820784446776986,0.22120021018090605,0.6676197891825932,0.19496665661221724,-0.22716143226186875,0.6677789279065061
original,arm_only,10.386999999996911,15.386999999996911,67,80,0.44896362938349677,0.21820836195858073,0.22119957771825308,0.6676197303424922,0.194966187153405,-0.22716201349414217,0.6677789315249235
original,arm_only,10.38799999999691,15.38799999999691,67,80,0.4489636293342528,0.2182088811556066,0.2211989388545263,0.6676196689071988,0.19496571483922276,-0.2271626008853705,0.6677789379946467
original,arm_only,10.38899999999691,15.38899999999691,67,80,0.44896362928447714,0.21820940215506773,0.22119829310738265,0.6676196048163456,0.1949652395437121,-0.22716319490728032,0.6677789474142444
original,arm_only,10.38999999999691,15.38999999999691,67,80,0.4489636292350587,0.2182099250532395,0.2211976400059679,0.6676195380121757,0.19496476114804176,-0.22716379602037728,0.6677789598718715
original,arm_only,10.39099999999691,15.39099999999691,67,80,0.4489636291867957,0.21821044994566394,0.2211969790912991,0.6676194684401939,0.1949642795401108,-0.22716440467359397,0.6677789754458977
