joint_name,input_mode,rmse,mae,peak_abs_error,delta_rmse,phase_lag_candidate_s,shape_correlation,real_excursion,sim_excursion,real_peak_abs_velocity,sim_peak_abs_velocity,peak_velocity_difference,minimum_limit_margin_rad,target_clip_samples,limit_contact_samples
left_shoulder_yaw_joint,MEASURED_REAL_TRAJECTORY,0.21376223246699186,0.1415250065290778,0.450073260078679,0.2137622324563848,0.24,0.9985697370766143,1.5808861548820283,1.5772323146618645,2.1096699103965237,1.7498090956406462,-0.3598608147558775,0.9882030711759956,0,0
left_wrist_pitch_joint,FIXED_AT_REAL_INITIAL,0.0004934486684534924,0.0003897550127220386,0.0011024245693853,0.0004934483317918059,0.3,0.8054095154677804,0.0011444091796864002,0.0004628442055768002,0.0199110475536662,0.0014619999762938,-0.0184490475773724,0.5735824276732999,0,0
left_wrist_roll_joint,MEASURED_REAL_TRAJECTORY,0.22375213339041874,0.16356129610933906,0.4392860727502299,0.22375213339365246,0.38,0.9929744819668606,1.078248495579561,1.0735367120290025,1.381462387954656,0.9801521741917965,-0.40131021376285947,0.4180507096339787,0,0
left_wrist_yaw_joint,MEASURED_REAL_TRAJECTORY,0.3407569443810808,0.25152842104543877,0.670170765886396,0.34075694438107335,0.38,0.9932182456170598,1.6240792274475098,1.6196848744448356,2.140318473773285,1.480134781431346,-0.6601836923419393,0.9250447471503592,0,0
right_ankle_pitch_joint,FIXED_AT_REAL_INITIAL,0.07219082092744251,0.06867866454778358,0.11521750924805718,0.02402308189744265,-0.42,0.34720733328837605,0.0320215225219726,0.0721859720180793,0.1276642837868893,0.1514490023160102,0.023784718529120896,0.4142390750893475,0,0
right_ankle_roll_joint,FIXED_AT_REAL_INITIAL,0.004084564643067947,0.0033278818772748647,0.0087596946046125,0.0029578927023297865,1.0,0.04360235451371867,0.0024929046630858993,0.0079068880504353,0.0417600984928945,0.0133525114091767,-0.028407587083717798,0.2389463831846941,0,0
right_elbow_joint,MEASURED_REAL_TRAJECTORY,0.037560122627772786,0.023413076758440593,0.09434397809067008,0.03756012243870054,0.22,0.9983768308222059,0.27898836135846916,0.2772251172152267,0.6908410976215799,0.3828397922884267,-0.3080013053331532,0.9078531135949226,0,0
right_hip_pitch_joint,FIXED_AT_REAL_INITIAL,0.024211736081625263,0.019097467686473257,0.05222873791876473,0.027294565469284833,1.0,0.26692337452046105,0.04103374481201166,0.05245878451134281,0.1378437288303209,0.1147153070203018,-0.02312842181001909,2.262672992693976,0,0
right_hip_roll_joint,FIXED_AT_REAL_INITIAL,0.0019528648589437305,0.0017155476451549874,0.0031099228689476996,0.0022629527502126645,-1.0,0.5531092518410209,0.002685070037835198,0.0034429845187234007,0.0284876157248726,0.0094658537424756,-0.019021761982397002,0.2544654131961832,0,0
right_hip_yaw_joint,FIXED_AT_REAL_INITIAL,0.002852013062956137,0.0025075957152158436,0.0051603982104238,0.0019023393231968099,-1.0,0.4357288039140472,0.004218578338623,0.002174381113577999,0.0291306400140996,0.0045522171652946,-0.024578422848805,1.6975261588685948,0,0
right_knee_joint,FIXED_AT_REAL_INITIAL,0.11369854389897488,0.11127163634087892,0.14721760527341632,0.02498488893941585,0.42,0.33984394954265723,0.023776531219482477,0.08161648731797178,0.0940546166300202,0.1694004186078012,0.075345801977781,0.5592282473952658,0,0
right_shoulder_pitch_joint,MEASURED_REAL_TRAJECTORY,0.05332736746212709,0.0344812653443178,0.1130671724702802,0.05332736719367959,0.24,0.9989673552501723,0.4009385108947437,0.3963638581213792,0.6156731775007693,0.454640618178278,-0.16103255932249133,1.6357260554333848,0,0
right_shoulder_roll_joint,MEASURED_REAL_TRAJECTORY,0.2998875010153132,0.19806750588999225,0.6372216961145367,0.29988750321473817,0.24,0.9987367695430893,2.2028069571249937,2.1944032178820234,2.961854113065845,2.4571316979212106,-0.5047224151446343,0.0481538495941455,0,0
right_shoulder_yaw_joint,MEASURED_REAL_TRAJECTORY,0.21344099647919837,0.1407039361689278,0.44798237743792746,0.21344099649007856,0.24,0.998523441599829,1.5731237149213184,1.5678432890784648,2.225960200910252,1.7452530317361383,-0.4807071691741138,0.9951011048100824,0,0
right_wrist_pitch_joint,FIXED_AT_REAL_INITIAL,0.0005343770773520417,0.000489662917061255,0.0007738220200636005,0.0005343781271088219,0.38,0.6308655585651047,0.000762939453125,0.0004715338247191997,0.0073261260986328,0.0014520577273305,-0.0058740683713023,0.5690005252361753,0,0
right_wrist_roll_joint,MEASURED_REAL_TRAJECTORY,0.22541506356634203,0.16577524710610908,0.4407768057593536,0.22541506356317803,0.38,0.99325067124313,1.0910205841064453,1.088260996653002,1.3610721648432609,0.982093364855613,-0.37897879998764783,0.4155334859660049,0,0
right_wrist_yaw_joint,MEASURED_REAL_TRAJECTORY,0.341276379199906,0.25261353545968884,0.6680988111987454,0.34127637919087267,0.38,0.9933429779908476,1.6312017916930461,1.6269907731453692,2.097297992928791,1.477115006013315,-0.620182986915476,0.9219541039282596,0,0
waist_pitch_joint,FIXED_AT_REAL_INITIAL,0.015976178167790178,0.011401739898707833,0.0380489674263048,0.015940995504781456,-0.36,0.28943490016695694,0.032339343251161,0.0407446901409262,0.1323952141448822,0.1349717606711124,0.002576546526230211,0.2576771007928701,0,0
waist_roll_joint,FIXED_AT_REAL_INITIAL,0.0031698695311235064,0.002340624777696073,0.0058802586230136,0.0032138030998646373,-0.48,0.36462816206577436,0.0102206828570827,0.00040528146403999996,0.0649497343887842,0.0009606739470861,-0.0639890604416981,0.4873775491305335,0,0
waist_yaw_joint,FIXED_AT_REAL_INITIAL,0.000438932627892928,0.000373906030924537,0.0011773434750311992,0.0004389766730707054,-0.3,0.14423310488843236,0.0021090507507325,6.603018626260074e-05,0.0165264858774527,0.0011104372419116,-0.0154160486355411,2.2207652019427515,0,0
