sim_time,t,joint_name,input_mode,coordinate_mapping_status,reference_position,reference_velocity,target_position,target_clipped,position,velocity,actuator_force,ctrl,ctrl_saturation_fraction,lower_limit,upper_limit,limit_margin,at_or_beyond_limit
4.919999999999978,-8.850379783000022,left_shoulder_pitch_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,0.3939399719238281,-0.0061054229736328,0.3939399719238281,0,0.3939323793580178,2.127389116956617e-06,-0.04663936603834791,-0.04663936603834791,0.001295537945509664,-3.080506,2.033309,1.6393766206419822,0
4.919999999999978,-8.850379783000022,left_shoulder_roll_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,-0.0125589370727539,-0.0061054229736328,-0.0125589370727539,0,-0.012522573932720826,-1.9341766049632684e-05,1.2065802020703895,1.2065802020703895,0.03351611672417749,-0.061087,3.0456,0.048564426067279176,0
4.919999999999978,-8.850379783000022,left_shoulder_yaw_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,-0.0085325241088867,0.0061054229736328,-0.0085325241088867,0,-0.008532674363943138,7.215292100629664e-07,0.48850800649184883,0.48850800649184883,0.0203545002704937,-2.556908,2.556908,2.548375325636057,0
4.919999999999978,-8.850379783000022,left_wrist_pitch_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,0.0020980834960937,-0.0073261260986328,0.0020980834960937,0,0.0020980027722564947,1.5660116088745207e-07,-0.19849367373729201,-0.19849367373729201,0.09022439715331454,-0.575959,0.575959,0.5738609972277435,0
4.919999999999978,-8.850379783000022,left_wrist_roll_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,-0.0181198120117187,-0.0073261260986328,-0.0181198120117187,0,-0.01811981668145716,5.4162274565877295e-08,0.03750540613003438,0.03750540613003438,0.017047911877288352,-1.50971,0.724312,0.7424318166814571,0
4.919999999999978,-8.850379783000022,left_wrist_yaw_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,0.0121755599975585,0.0061054229736328,0.0121755599975585,0,0.012175516909918424,6.469579161423511e-08,-0.008217204579140476,-0.008217204579140476,0.00034238352413085317,-2.556908,2.556908,2.5447324830900815,0
4.919999999999978,-8.850379783000022,right_ankle_pitch_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,-0.2949991226196289,-0.0061054229736328,-0.2949991226196289,0,-0.34806114869556765,-6.207940944226856e-05,7.2845585060468085,7.2845585060468085,0.20234884739018913,-0.802851,0.453786,0.45478985130443234,0
4.919999999999978,-8.850379783000022,right_ankle_roll_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,0.0156269073486328,0.0061054229736328,0.0156269073486328,0,0.024545293780582105,-0.0002908297029465711,-0.24631367646781,-0.24631367646781,0.010263069852825416,-0.261799,0.261799,0.2372537062194179,0
4.919999999999978,-8.850379783000022,right_elbow_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,-1.171273708343506,0.0061054229736328,-1.171273708343506,0,-1.1712762321350896,2.732421169559275e-06,-1.6020534492340752,-1.6020534492340752,0.0667522270514198,-2.356194,0.0,1.1712762321350896,0
4.919999999999978,-8.850379783000022,right_hip_pitch_joint,MEASURED_REAL_TRAJECTORY,IDENTITY_NAME_CANDIDATE_UNVERIFIED,-0.2568421363830566,0.0061054229736328,-0.2568421363830566,0,-0.2695805035022079,0.0006978301515689705,-0.08678155341730281,-0.08678155341730281,0.000735436893366973,-2.556908,2.556908,2.287327496497792,0
