experiment,quantity,kind,real_excursion,sim_excursion,excursion_ratio,delta_rmse,peak_timing_difference_s,phase_lag_candidate_s,shape_correlation,real_recovery_s,sim_recovery_s,frame_status
free_baseline,torso_gyro_norm,imu,0.11098609914368371,0.1514292249198575,1.364398119117744,0.06869909844509214,2.6200000000000028,0.36,0.6419155534416922,,,ROTATION_INVARIANT_NORM_ONLY
free_reference_advance_030,left_ankle_pitch_joint,joint,0.04621076583862299,0.0733025750261615,1.586266180529195,0.030939060867067655,-0.7200000000000024,1.0,0.4016870533149239,0.010203230000019659,,JOINT_MAPPING_IDENTITY_CANDIDATE_UNVERIFIED_SIGN_ZERO
free_reference_advance_030,right_ankle_pitch_joint,joint,0.0320215225219726,0.07231655750460891,2.2583734878623143,0.026635417042989742,-0.7000000000000011,1.0,0.37413041515087897,0.010203230000019659,0.010203230000776387,JOINT_MAPPING_IDENTITY_CANDIDATE_UNVERIFIED_SIGN_ZERO
free_reference_advance_030,left_hip_pitch_joint,joint,0.035664558410644476,0.04833543016492292,1.355279087108974,0.020975521297611266,-2.600000000000002,0.72,0.2875574777117581,0.010203230000019659,,JOINT_MAPPING_IDENTITY_CANDIDATE_UNVERIFIED_SIGN_ZERO
free_reference_advance_030,right_hip_pitch_joint,joint,0.04103374481201166,0.05256073506174955,1.2809148982757146,0.027212857919299862,-2.5,0.8,0.2717137782061627,0.010203230000019659,0.010203230000776387,JOINT_MAPPING_IDENTITY_CANDIDATE_UNVERIFIED_SIGN_ZERO
free_reference_advance_030,left_knee_joint,joint,0.007477760314941406,0.08897671598948975,11.898845675984594,0.024421738576557012,-2.640000000000003,0.26,0.3871261110558406,,0.310203230001143,JOINT_MAPPING_IDENTITY_CANDIDATE_UNVERIFIED_SIGN_ZERO
free_reference_advance_030,right_knee_joint,joint,0.023776531219482477,0.0817319855187909,3.4375067062692373,0.022769538247725908,-0.5399999999999993,0.12,0.341475845911775,0.010203230000019659,,JOINT_MAPPING_IDENTITY_CANDIDATE_UNVERIFIED_SIGN_ZERO
free_reference_advance_030,waist_pitch_joint,joint,0.032339343251161,0.04094391678311327,1.2660713752015778,0.018164317445875006,1.6000000000000014,-0.66,0.2953061362130356,0.010203230000019659,0.010203230000776387,JOINT_MAPPING_IDENTITY_CANDIDATE_UNVERIFIED_SIGN_ZERO
free_reference_advance_030,waist_roll_joint,joint,0.0102206828571298,0.00040186476215844816,0.039318778184973535,0.003214258825625871,0.5999999999999994,-0.8,0.37068615609439076,0.010203230000019659,0.010203230000776387,JOINT_MAPPING_IDENTITY_CANDIDATE_UNVERIFIED_SIGN_ZERO
free_reference_advance_030,torso_relative_roll_rad,imu,0.0039675345949268,0.00685524988869347,1.7278361976878864,0.002332336853510158,2.7600000000000016,0.8,0.1471289024443361,,,PARTIAL_TRANSFORM_RELATIVE_BASELINE_ONLY
free_reference_advance_030,torso_relative_pitch_rad,imu,0.0469125937743554,0.07158986317784252,1.526026540382358,0.01642442506858531,0.019999999999999574,0.04,0.6768591566604226,,,PARTIAL_TRANSFORM_RELATIVE_BASELINE_ONLY
free_reference_advance_030,torso_gyro_norm,imu,0.11098609914368371,0.15182485524458456,1.3679628026932507,0.056648899023921735,2.320000000000002,0.06,0.6601378943037862,,,ROTATION_INVARIANT_NORM_ONLY
