sim_time,t,joint_name,input_mode,reference_position,reference_velocity,target_position,target_clipped,position,velocity,actuator_force,ctrl,ctrl_saturation_fraction,lower_limit,upper_limit,limit_margin
0.001,-13.769379783,left_shoulder_yaw_joint,MEASURED_REAL_TRAJECTORY,-0.0085325241088867,0.0061054229736328,-0.0085325241088867,0,-0.0085322998123198,0.00022429656689972784,0.5047047193410323,0.5047047193410323,0.021029363305876347,-2.556908,2.556908,2.5483757001876803
0.001,-13.769379783,left_wrist_pitch_joint,STANDING_TARGET,0.0020980834960937,-0.0073261260986328,0.0020980834960937,0,0.002097997108397495,-8.638769620515783e-05,-0.2012317818519478,-0.2012317818519478,0.09146899175088535,-0.575959,0.575959,0.5738610028916025
0.001,-13.769379783,left_wrist_roll_joint,MEASURED_REAL_TRAJECTORY,-0.0181198120117187,-0.0073261260986328,-0.0181198120117187,0,-0.018119800783435395,1.1228283307997794e-05,0.03929710568984446,0.03929710568984446,0.017862320768111117,-1.50971,0.724312,0.7424318007834354
0.001,-13.769379783,left_wrist_yaw_joint,MEASURED_REAL_TRAJECTORY,0.0121755599975585,0.0061054229736328,0.0121755599975585,0,0.012175555003766908,-4.993791591799414e-06,-0.00824745632487911,-0.00824745632487911,0.0003436440135366296,-2.556908,2.556908,2.544732444996233
0.001,-13.769379783,right_ankle_pitch_joint,STANDING_TARGET,-0.2949991226196289,-0.0061054229736328,-0.2949991226196289,0,-0.2949993258328193,-0.00020321319040907213,-0.4537624656299428,-0.4537624656299428,0.012604512934165079,-0.802851,0.453786,0.5078516741671807
0.001,-13.769379783,right_ankle_roll_joint,STANDING_TARGET,0.0156269073486328,0.0061054229736328,0.0156269073486328,0,0.01562691027729114,2.928658341148119e-06,0.0011732380087094985,0.0011732380087094985,4.8884917029562436e-05,-0.261799,0.261799,0.24617208972270888
0.001,-13.769379783,right_elbow_joint,MEASURED_REAL_TRAJECTORY,-1.171273708343506,0.0061054229736328,-1.171273708343506,0,-1.1712742347829725,-0.0005264394665174885,-1.6453375401774792,-1.6453375401774792,0.0685557308407283,-2.356194,0.0,1.1712742347829725
0.001,-13.769379783,right_hip_pitch_joint,STANDING_TARGET,-0.2570338249206543,0.0061054229736328,-0.2570338249206543,0,-0.257034088393956,-0.000263473301683679,-2.983089721327161,-2.983089721327161,0.025280421367179333,-2.556908,2.556908,2.299873911606044
0.001,-13.769379783,right_hip_roll_joint,STANDING_TARGET,-0.0177364349365234,-0.0061054229736328,-0.0177364349365234,0,-0.017736457668392637,-2.2731869238074632e-05,-0.4916538157412855,-0.4916538157412855,0.004166557760519369,-2.905973,0.235619,0.2533554576683926
0.001,-13.769379783,right_hip_yaw_joint,STANDING_TARGET,-0.0135178565979003,0.0061054229736328,-0.0135178565979003,0,-0.0135178376119405,1.8985959801712343e-05,0.07710108122751658,0.07710108122751658,0.0006533989934535303,-3.429572,1.684242,1.6977598376119405
0.001,-13.769379783,right_knee_joint,STANDING_TARGET,0.4804167747497558,0.0061054229736328,0.4804167747497558,0,0.48041709081062595,0.0003160608701150836,1.2521125360977348,1.2521125360977348,0.010611123187268938,0.0,2.408554,0.48041709081062595
0.001,-13.769379783,right_shoulder_pitch_joint,MEASURED_REAL_TRAJECTORY,0.3975830078125,0.0061054229736328,0.3975830078125,0,0.3975831279979463,0.00012018544632187468,-0.1277987653779752,-0.1277987653779752,0.0035499657049437553,-3.080506,2.033309,1.6357258720020538
