topic,receive_wall_ns,receive_wall_utc,receive_monotonic_ns,elapsed_seconds,source_stamp_sec,source_stamp_nanosec,source_time_ns,source_time_utc,frame_id,sequence,meas_stamp_sec,meas_stamp_nanosec,meas_time_ns,message.header.stamp.sec,message.header.stamp.nanosec,message.header.frame_id,message.header.sequence,message.header.meas_stamp.sec,message.header.meas_stamp.nanosec,message.input_source.name,message.input_source.priority,message.input_source.timeout,message.action_info.current_action.value,message.action_info.action_desc,message.action_info.status.value,message.runtime_model.waist_status,message.runtime_model.left_hand_status.value,message.runtime_model.right_hand_status.value,message.motion_status.player_state.value,message.motion_status.control_area.value,message.motion_status.motion,message.motion_status.type.value,message.servo_status.squat_enable,message.servo_status.squat_offset,message.servo_status.squat_limit,message.servo_status.head_yaw_offset,message.servo_status.head_pitch_offset,message.servo_status.waist_yaw_offset,message.servo_status.waist_pitch_offset,message.servo_status.waist_roll_offset,message.fsm_state.current_state,message.body_status.value,message.speed_status.speed_mode.value,message.speed_status.forward_bounds.min_value,message.speed_status.forward_bounds.max_value,message.speed_status.lateral_bounds.min_value,message.speed_status.lateral_bounds.max_value,message.speed_status.angular_bounds.min_value,message.speed_status.angular_bounds.max_value
/aima/mc/common/state,1786663932372972343,2026-08-13T23:32:12.372972+00:00,14069448067322,2.783502593,1786663932,368354879,1786663932368354879,2026-08-13T23:32:12.368355+00:00,,140191,0,0,0,1786663932,368354879,,140191,0,0,app_proxy,60,1000,0,STAND_DEFAULT,100,True,0,0,0,0,,0,False,0.0,2,0.0,0.0,0.0,0.0,0.0,4,1,1,-1.0,0.8,-1.0,1.0,-1.0,1.0
/aima/mc/common/state,1786663932471651614,2026-08-13T23:32:12.471652+00:00,14069546746497,2.882181768,1786663932,468356295,1786663932468356295,2026-08-13T23:32:12.468356+00:00,,140192,0,0,0,1786663932,468356295,,140192,0,0,app_proxy,60,1000,0,STAND_DEFAULT,100,True,0,0,0,0,,0,False,0.0,2,0.0,0.0,0.0,0.0,0.0,4,1,1,-1.0,0.8,-1.0,1.0,-1.0,1.0
/aima/mc/common/state,1786663932572176131,2026-08-13T23:32:12.572176+00:00,14069647271078,2.982706349,1786663932,568355671,1786663932568355671,2026-08-13T23:32:12.568356+00:00,,140193,0,0,0,1786663932,568355671,,140193,0,0,app_proxy,60,1000,0,STAND_DEFAULT,100,True,0,0,0,0,,0,False,0.0,2,0.0,0.0,0.0,0.0,0.0,4,1,1,-1.0,0.8,-1.0,1.0,-1.0,1.0
/aima/mc/common/state,1786663932671930654,2026-08-13T23:32:12.671931+00:00,14069747024033,3.082459304,1786663932,668355337,1786663932668355337,2026-08-13T23:32:12.668355+00:00,,140194,0,0,0,1786663932,668355337,,140194,0,0,app_proxy,60,1000,0,STAND_DEFAULT,100,True,0,0,0,0,,0,False,0.0,2,0.0,0.0,0.0,0.0,0.0,4,1,1,-1.0,0.8,-1.0,1.0,-1.0,1.0
/aima/mc/common/state,1786663932773905885,2026-08-13T23:32:12.773906+00:00,14069849000608,3.184435879,1786663932,768371046,1786663932768371046,2026-08-13T23:32:12.768371+00:00,,140195,0,0,0,1786663932,768371046,,140195,0,0,app_proxy,60,1000,0,STAND_DEFAULT,100,True,0,0,0,0,,0,False,0.0,2,0.0,0.0,0.0,0.0,0.0,4,1,1,-1.0,0.8,-1.0,1.0,-1.0,1.0
/aima/mc/common/state,1786663932875295945,2026-08-13T23:32:12.875296+00:00,14069950390668,3.285825939,1786663932,868355837,1786663932868355837,2026-08-13T23:32:12.868356+00:00,,140196,0,0,0,1786663932,868355837,,140196,0,0,app_proxy,60,1000,0,STAND_DEFAULT,100,True,0,0,0,0,,0,False,0.0,2,0.0,0.0,0.0,0.0,0.0,4,1,1,-1.0,0.8,-1.0,1.0,-1.0,1.0
/aima/mc/common/state,1786663932972105421,2026-08-13T23:32:12.972106+00:00,14070047200432,3.382635703,1786663932,968382337,1786663932968382337,2026-08-13T23:32:12.968382+00:00,,140197,0,0,0,1786663932,968382337,,140197,0,0,app_proxy,60,1000,0,STAND_DEFAULT,100,True,0,0,0,0,,0,False,0.0,2,0.0,0.0,0.0,0.0,0.0,4,1,1,-1.0,0.8,-1.0,1.0,-1.0,1.0
/aima/mc/common/state,1786663933071885389,2026-08-13T23:32:13.071885+00:00,14070146980336,3.482415607,1786663933,68355171,1786663933068355171,2026-08-13T23:32:13.068355+00:00,,140198,0,0,0,1786663933,68355171,,140198,0,0,app_proxy,60,1000,0,STAND_DEFAULT,100,True,0,0,0,0,,0,False,0.0,2,0.0,0.0,0.0,0.0,0.0,4,1,1,-1.0,0.8,-1.0,1.0,-1.0,1.0
/aima/mc/common/state,1786663933171667693,2026-08-13T23:32:13.171668+00:00,14070246762545,3.582197816,1786663933,168355421,1786663933168355421,2026-08-13T23:32:13.168355+00:00,,140199,0,0,0,1786663933,168355421,,140199,0,0,app_proxy,60,1000,0,STAND_DEFAULT,100,True,0,0,0,0,,0,False,0.0,2,0.0,0.0,0.0,0.0,0.0,4,1,1,-1.0,0.8,-1.0,1.0,-1.0,1.0
/aima/mc/common/state,1786663933271279168,2026-08-13T23:32:13.271279+00:00,14070346374243,3.681809514,1786663933,268355379,1786663933268355379,2026-08-13T23:32:13.268355+00:00,,140200,0,0,0,1786663933,268355379,,140200,0,0,app_proxy,60,1000,0,STAND_DEFAULT,100,True,0,0,0,0,,0,False,0.0,2,0.0,0.0,0.0,0.0,0.0,4,1,1,-1.0,0.8,-1.0,1.0,-1.0,1.0
