receive_wall_ns,receive_wall_utc,receive_monotonic_ns,elapsed_seconds,source_stamp_sec,source_stamp_nanosec,source_time_ns,source_time_utc,frame_id,sequence,meas_stamp_sec,meas_stamp_nanosec,meas_time_ns,orientation_x,orientation_y,orientation_z,orientation_w,orientation_covariance,gyro_x,gyro_y,gyro_z,gyro_covariance,accel_x,accel_y,accel_z,accel_covariance
1786663930819470730,2026-08-13T23:32:10.819471+00:00,14067894565805,1.230001076,1786663930,721386711,1786663930721386711,2026-08-13T23:32:10.721387+00:00,base_link,,,,,-0.022715313360095024,0.022306108847260475,0.6396634578704834,0.7679954767227173,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.0008618068610165601,-0.0014080734755311777,-0.0006506834652289025,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",-0.6202279938399792,-0.06767124537990894,9.800480371454357,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
1786663930840438870,2026-08-13T23:32:10.840439+00:00,14067915533977,1.250969248,1786663930,743182961,1786663930743182961,2026-08-13T23:32:10.743183+00:00,base_link,,,,,-0.02272043749690056,0.022306114435195923,0.6396632790565491,0.7679955959320068,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",-0.0012552817600318244,-0.003287779776399128,-0.0011855471209549922,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",-0.626019144462049,-0.052839701115433124,9.801883808511494,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
1786663930863290493,2026-08-13T23:32:10.863290+00:00,14067938385632,1.273820903,1786663930,763276461,1786663930763276461,2026-08-13T23:32:10.763277+00:00,base_link,,,,,-0.022717496380209923,0.02232539653778076,0.6396633982658386,0.7679949402809143,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",6.104045191316613e-05,-0.0011419991056085303,-0.003313691761642084,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",-0.6247156606480478,-0.05509415637818165,9.798860661298036,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
1786663930883649236,2026-08-13T23:32:10.883649+00:00,14067958744215,1.294179486,1786663930,783299086,1786663930783299086,2026-08-13T23:32:10.783299+00:00,base_link,,,,,-0.022712573409080505,0.02232459932565689,0.639663577079773,0.7679949998855591,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.0026876132781348287,0.003933549267290482,0.005458641234889333,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",-0.6210813957989215,-0.07548738989040721,9.78687854708135,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
1786663930904187700,2026-08-13T23:32:10.904188+00:00,14067979282743,1.314718014,1786663930,805489961,1786663930805489961,2026-08-13T23:32:10.805490+00:00,base_link,,,,,-0.022740062326192856,0.02230660244822502,0.6396626234054565,0.7679954767227173,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",5.182874935163669e-05,0.00044848263437172984,0.0035744753095299634,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",-0.6122475530127063,-0.07965874359118752,9.803606979042291,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
1786663930925035791,2026-08-13T23:32:10.925036+00:00,14068000130834,1.335566105,1786663930,824992836,1786663930824992836,2026-08-13T23:32:10.824993+00:00,base_link,,,,,-0.02273341454565525,0.022280704230070114,0.6396627426147461,0.7679963111877441,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.0011347663085874706,-0.0032728374661189124,-0.005441136672357216,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",-0.6107849331142381,-0.0528422583987005,9.78988298959434,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
1786663930947157295,2026-08-13T23:32:10.947157+00:00,14068022252434,1.357687705,1786663930,847661753,1786663930847661753,2026-08-13T23:32:10.847662+00:00,base_link,,,,,-0.022714251652359962,0.022273357957601547,0.6396632790565491,0.7679966688156128,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.00296869978829401,0.0007290151211996467,-0.00012280239876838152,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",-0.6119425421841442,-0.05643189865481108,9.802370715245605,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
1786663930969292589,2026-08-13T23:32:10.969293+00:00,14068044387408,1.379822679,1786663930,869414253,1786663930869414253,2026-08-13T23:32:10.869414+00:00,base_link,,,,,-0.022718142718076706,0.022266188636422157,0.6396631598472595,0.7679968476295471,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.0005853964872245303,-8.410042959665438e-05,0.0006621658117051985,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",-0.6170783707026392,-0.06343758529894986,9.793379015016555,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
1786663930991678605,2026-08-13T23:32:10.991679+00:00,14068066772144,1.402207415,1786663930,887098878,1786663930887098878,2026-08-13T23:32:10.887099+00:00,base_link,,,,,-0.02271607331931591,0.02226976491510868,0.6396632194519043,0.7679967284202576,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.005106041307306094,-0.0008599826996995859,-0.0011918761596959712,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",-0.6220265676945448,-0.06693027255318593,9.794534030270576,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
1786663931011849306,2026-08-13T23:32:11.011849+00:00,14068086944413,1.422379684,1786663930,913097170,1786663930913097170,2026-08-13T23:32:10.913097+00:00,base_link,,,,,-0.022710910066962242,0.022276941686868668,0.6396633982658386,0.7679964900016785,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.0019211975184135444,-0.0011342386177816337,-0.0038495163919997992,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",-0.6334142231494188,-0.05798835258288309,9.794646842995286,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
1786663931033040043,2026-08-13T23:32:11.033040+00:00,14068108135150,1.443570421,1786663930,933228878,1786663930933228878,2026-08-13T23:32:10.933229+00:00,base_link,,,,,-0.022699842229485512,0.022288532927632332,0.639663815498352,0.7679962515830994,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",-0.0034057029370070206,0.0014872371092682466,-0.0017297990697094244,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",-0.6239388310566544,-0.05750033160392195,9.805218505892157,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
1786663931054955588,2026-08-13T23:32:11.054955+00:00,14068130050567,1.465485838,1786663930,955225503,1786663930955225503,2026-08-13T23:32:10.955226+00:00,base_link,,,,,-0.022700374945998192,0.022271426394581795,0.639663815498352,0.7679966688156128,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.0018931750300215662,0.002595704572054022,-0.0011809110360339228,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",-0.6176039289467037,-0.06082308281846344,9.801897837036847,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
1786663931076520903,2026-08-13T23:32:11.076521+00:00,14068151615947,1.487051218,1786663930,977287170,1786663930977287170,2026-08-13T23:32:10.977287+00:00,base_link,,,,,-0.02269960194826126,0.022291604429483414,0.639663815498352,0.7679961323738098,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0.0008512137736767147,-0.0006088754771552114,-0.00571421523396907,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",-0.6172338535252958,-0.061195642457902426,9.804795896565913,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
