receive_wall_ns,receive_wall_utc,receive_monotonic_ns,elapsed_seconds,source_stamp_sec,source_stamp_nanosec,source_time_ns,source_time_utc,frame_id,sequence,meas_stamp_sec,meas_stamp_nanosec,meas_time_ns,array_state,joint_index,joint_name,position,velocity,effort,coil_temp,motor_temp,motor_vol
1786663930466264888,2026-08-13T23:32:10.466265+00:00,14067541359803,0.876795074,1786663930,411602003,1786663930411602003,2026-08-13T23:32:10.411602+00:00,x2_head,1401077,0,0,0,0,1,head_pitch_joint,0.0,0.0,0.0,0,0,0
1786663930487190070,2026-08-13T23:32:10.487190+00:00,14067562285273,0.897720544,1786663930,432679295,1786663930432679295,2026-08-13T23:32:10.432679+00:00,x2_head,1401079,0,0,0,0,0,head_yaw_joint,4.792213439941406e-05,0.0030689239501953125,-0.0018315315246582031,0,121,23
1786663930487190070,2026-08-13T23:32:10.487190+00:00,14067562285273,0.897720544,1786663930,432679295,1786663930432679295,2026-08-13T23:32:10.432679+00:00,x2_head,1401079,0,0,0,0,1,head_pitch_joint,0.0,0.0,0.0,0,0,0
1786663930507438633,2026-08-13T23:32:10.507439+00:00,14067582533580,0.917968851,1786663930,459670420,1786663930459670420,2026-08-13T23:32:10.459671+00:00,x2_head,1401081,0,0,0,0,0,head_yaw_joint,4.792213439941406e-05,0.0030689239501953125,-0.0018315315246582031,0,134,23
1786663930507438633,2026-08-13T23:32:10.507439+00:00,14067582533580,0.917968851,1786663930,459670420,1786663930459670420,2026-08-13T23:32:10.459671+00:00,x2_head,1401081,0,0,0,0,1,head_pitch_joint,0.0,0.0,0.0,0,0,0
1786663930528777595,2026-08-13T23:32:10.528777+00:00,14067603872766,0.939308037,1786663930,486588628,1786663930486588628,2026-08-13T23:32:10.486589+00:00,x2_head,1401084,0,0,0,0,0,head_yaw_joint,4.792213439941406e-05,0.0030689239501953125,-0.0018315315246582031,0,148,23
1786663930528777595,2026-08-13T23:32:10.528777+00:00,14067603872766,0.939308037,1786663930,486588628,1786663930486588628,2026-08-13T23:32:10.486589+00:00,x2_head,1401084,0,0,0,0,1,head_pitch_joint,0.0,0.0,0.0,0,0,0
1786663930550558143,2026-08-13T23:32:10.550558+00:00,14067625652578,0.961087849,1786663930,513591128,1786663930513591128,2026-08-13T23:32:10.513591+00:00,x2_head,1401087,0,0,0,0,0,head_yaw_joint,0.0001437664031982422,0.0030689239501953125,-0.001098930835723877,0,121,23
1786663930550558143,2026-08-13T23:32:10.550558+00:00,14067625652578,0.961087849,1786663930,513591128,1786663930513591128,2026-08-13T23:32:10.513591+00:00,x2_head,1401087,0,0,0,0,1,head_pitch_joint,0.0,0.0,0.0,0,0,0
1786663930570589336,2026-08-13T23:32:10.570590+00:00,14067645684315,0.981119586,1786663930,543589336,1786663930543589336,2026-08-13T23:32:10.543589+00:00,x2_head,1401090,0,0,0,0,0,head_yaw_joint,4.792213439941406e-05,0.0030689239501953125,-0.0013431310653686523,0,163,23
