experiment_id,family,dataset,mode,stable_no_fall,fall_time_s,contact_safety_pass,pelvis_hip_contact_samples,minimum_positive_precontact_distance_m,maximum_pelvis_hip_penetration_m,limit_management_pass,minimum_limit_margin_rad,saturation_management_pass,persistent_saturation_fraction,max_consecutive_saturation_s,minimum_com_support_margin_m,arm_tracking_retained,balance_shape_score,safety_pass,classification,summary_file
ax_g_combined_v3,AX-G_COMBINED,wave,whole_body,True,,True,0,0.0011336375878556453,0.0,True,0.04623039898068503,True,0.0,0.0,0.03799056225151545,True,1.1094472759642011,True,DIAGNOSTIC_OR_COMPARISON,ax_g_combined_v3__wave__whole_body_summary.json
ax_legacy_additive,LEGACY_BALANCE_ARCHITECTURE,heart,arm_only,True,,True,0,0.003256356517264674,0.0,True,0.047952547258508296,True,0.0,0.0,0.007626072121147201,True,1.4675374396490946,True,DIAGNOSTIC_OR_COMPARISON,ax_legacy_additive__heart__arm_only_summary.json
ax_legacy_additive,LEGACY_BALANCE_ARCHITECTURE,wave,arm_only,True,,False,687,8.699950368125538e-06,0.000486381935220113,True,0.04606210741078906,True,0.0,0.0,0.01808431691772132,True,0.8611426826611638,False,DIAGNOSTIC_OR_COMPARISON,ax_legacy_additive__wave__arm_only_summary.json
ax_legacy_additive,LEGACY_BALANCE_ARCHITECTURE,wave,whole_body,False,7.450000000000823,False,353,7.74320110229302e-05,0.002575305302289047,False,-0.06282042617234473,False,0.5083565459610028,6.98,-0.5155148127572499,True,3.2911412445064068,False,DIAGNOSTIC_OR_COMPARISON,ax_legacy_additive__wave__whole_body_summary.json
ax_smoke_contact,AX-B,wave,standing,True,,False,395,1.9713225313517368e-05,1.9912611098467715e-05,True,0.04617500043776471,True,0.0,0.0,0.054360402389954335,True,,False,DIAGNOSTIC_OR_COMPARISON,ax_smoke_contact__wave__standing_summary.json
ax_smoke_legacy,LEGACY_BALANCE_ARCHITECTURE,wave,standing,True,,False,470,8.699950368125538e-06,0.0004944125175742999,True,0.04606210741078906,True,0.0,0.0,0.0561872902948738,True,,False,DIAGNOSTIC_OR_COMPARISON,ax_smoke_legacy__wave__standing_summary.json
ax_stand_left_0p02,SAFE_STANDING_REFERENCE,wave,standing,True,,True,0,0.0010705507591957264,0.0,True,0.046175659213773874,True,0.0,0.0,0.05109204730940589,True,,True,DIAGNOSTIC_OR_COMPARISON,ax_stand_left_0p02__wave__standing_summary.json
ax_stand_left_0p04,SAFE_STANDING_REFERENCE,wave,standing,True,,True,0,0.0011701529233107185,0.0,True,0.046307561700045116,True,0.0,0.0,0.047487510552158274,True,,True,DIAGNOSTIC_OR_COMPARISON,ax_stand_left_0p04__wave__standing_summary.json
ax_stand_symmetric_0p03,SAFE_STANDING_REFERENCE,wave,standing,True,,False,0,0.0006755452821327755,0.0,True,0.04622330913772997,True,0.0,0.0,0.05104093979460986,True,,False,DIAGNOSTIC_OR_COMPARISON,ax_stand_symmetric_0p03__wave__standing_summary.json
phase3ax_final_candidate,AX-G_COMBINED,heart,arm_only,True,,True,0,0.0028970396736576532,0.0,True,0.047952596802620547,True,0.0,0.0,0.029830770430116504,True,1.456503092671615,True,SAFETY_ARCHITECTURE_CANDIDATE,phase3ax_final_candidate__heart__arm_only_summary.json
phase3ax_final_candidate,AX-G_COMBINED,heart,standing,True,,True,0,0.0028960970310053014,0.0,True,0.04814405216503286,True,0.0,0.0,0.04798136462001146,True,,True,SAFETY_ARCHITECTURE_CANDIDATE,phase3ax_final_candidate__heart__standing__perturb_pitch_minus_0p25_summary.json
phase3ax_final_candidate,AX-G_COMBINED,heart,standing,True,,True,0,0.002860546920570946,0.0,True,0.04814407111843651,True,0.0,0.0,0.0482870032235259,True,,True,SAFETY_ARCHITECTURE_CANDIDATE,phase3ax_final_candidate__heart__standing__perturb_roll_plus_0p25_summary.json
phase3ax_final_candidate,AX-G_COMBINED,heart,standing,True,,True,0,0.0028970396736576532,0.0,True,0.04814412699056945,True,0.0,0.0,0.04803359757602926,True,,True,SAFETY_ARCHITECTURE_CANDIDATE,phase3ax_final_candidate__heart__standing_summary.json
phase3ax_final_candidate,AX-G_COMBINED,wave,arm_only,True,,True,0,0.0011336375878556453,0.0,True,0.04623039898068503,True,0.0,0.0,0.027905873842035078,True,0.9676592858865247,True,SAFETY_ARCHITECTURE_CANDIDATE,phase3ax_final_candidate__wave__arm_only_summary.json
phase3ax_final_candidate,AX-G_COMBINED,wave,standing,True,,True,0,0.0011137044796758002,0.0,True,0.04625628563484099,True,0.0,0.0,0.0632783830503337,True,,True,SAFETY_ARCHITECTURE_CANDIDATE,phase3ax_final_candidate__wave__standing__perturb_left_hip_roll_minus_0p25_summary.json
phase3ax_final_candidate,AX-G_COMBINED,wave,standing,True,,True,0,0.0011782756625815084,0.0,True,0.04618624648941405,True,0.0,0.0,0.06254374293036236,True,,True,SAFETY_ARCHITECTURE_CANDIDATE,phase3ax_final_candidate__wave__standing__perturb_left_hip_roll_plus_0p25_summary.json
phase3ax_final_candidate,AX-G_COMBINED,wave,standing,True,,True,0,0.0011086830807370092,0.0,True,0.04625011749013355,True,0.0,0.0,0.06268448473038232,True,,True,SAFETY_ARCHITECTURE_CANDIDATE,phase3ax_final_candidate__wave__standing__perturb_pitch_minus_0p25_summary.json
phase3ax_final_candidate,AX-G_COMBINED,wave,standing,True,,True,0,0.0011650222339845318,0.0,True,0.046215100935473395,True,0.0,0.0,0.06222302766393331,True,,True,SAFETY_ARCHITECTURE_CANDIDATE,phase3ax_final_candidate__wave__standing__perturb_pitch_plus_0p25_summary.json
phase3ax_final_candidate,AX-G_COMBINED,wave,standing,True,,True,0,0.0008186488583976006,0.0,True,0.04627456231605122,True,0.0,0.0,0.06274535745868892,True,,True,SAFETY_ARCHITECTURE_CANDIDATE,phase3ax_final_candidate__wave__standing__perturb_roll_minus_0p25_summary.json
phase3ax_final_candidate,AX-G_COMBINED,wave,standing,True,,True,0,0.0009840410257063738,0.0,True,0.04613315137276687,True,0.0,0.0,0.06336049319856019,True,,True,SAFETY_ARCHITECTURE_CANDIDATE,phase3ax_final_candidate__wave__standing__perturb_roll_plus_0p25_summary.json
phase3ax_final_candidate,AX-G_COMBINED,wave,standing,True,,True,0,0.0011336375878556453,0.0,True,0.04623039898068503,True,0.0,0.0,0.06281711062713635,True,,True,SAFETY_ARCHITECTURE_CANDIDATE,phase3ax_final_candidate__wave__standing_summary.json
phase3ax_final_candidate,AX-G_COMBINED,wave,whole_body,True,,True,0,0.0011336375878556453,0.0,True,0.04623039898068503,True,0.0,0.0,0.03799056225151545,True,1.1094472759642011,True,SAFETY_ARCHITECTURE_CANDIDATE,phase3ax_final_candidate__wave__whole_body_summary.json
