row_type,model_id,source_file,source_kind,independence_class,body_or_metric,region,side,mass_or_value,com_xyz_m,principal_inertia_kg_m2,full_ixx_kg_m2,full_iyy_kg_m2,full_izz_kg_m2,full_ixy_kg_m2,full_ixz_kg_m2,full_iyz_kg_m2,mass_delta_vs_current_kg,com_norm_delta_vs_current_m,max_full_inertia_delta_vs_current_kg_m2,hardware_evidence_level
BODY,current_compiled_mjcf,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,MJCF_COMPILED,BASELINE_CURRENT,torso_link,central,center,10.1441,-0.000188 0.000605 0.191827,0.0666413 0.455999 0.479863,0.479750806838,0.455998464076,0.0667540290863,0.000186994475157,-0.00676962434223,0.00083299880266,0,0,0,LEVEL_E_NOT_INDEPENDENT_X2_PHYSICAL_DATA
BODY,current_compiled_mjcf,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,MJCF_COMPILED,BASELINE_CURRENT,waist_pitch_link,central,center,0.392413,0.008967 -1e-06 0,0.000133 0.000133 0.00023,0.000133,0.000133,0.00023,0,0,0,0,0,0,LEVEL_E_NOT_INDEPENDENT_X2_PHYSICAL_DATA
BODY,current_compiled_mjcf,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,MJCF_COMPILED,BASELINE_CURRENT,waist_yaw_link,central,center,1.66854,-0.001359 4.7e-05 0.041703,0.00283196 0.00499998 0.00503206,0.00501199799866,0.00500000470995,0.00285199729139,9.99811308895e-07,-0.000208999638862,1.00001870184e-06,0,0,0,LEVEL_E_NOT_INDEPENDENT_X2_PHYSICAL_DATA
AGGREGATE,current_compiled_mjcf,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,MJCF_COMPILED,BASELINE_CURRENT,total_mass_kg,,,43.4747966593,,,,,,,,,,,,LEVEL_E_NOT_INDEPENDENT_X2_PHYSICAL_DATA
AGGREGATE,current_compiled_mjcf,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,MJCF_COMPILED,BASELINE_CURRENT,lower_limb_mass_kg,,,16.646758,,,,,,,,,,,,LEVEL_E_NOT_INDEPENDENT_X2_PHYSICAL_DATA
AGGREGATE,current_compiled_mjcf,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,MJCF_COMPILED,BASELINE_CURRENT,upper_body_mass_kg,,,26.8280386593,,,,,,,,,,,,LEVEL_E_NOT_INDEPENDENT_X2_PHYSICAL_DATA
AGGREGATE,current_compiled_mjcf,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,MJCF_COMPILED,BASELINE_CURRENT,lower_upper_mass_ratio,,,0.620498509467,,,,,,,,,,,,LEVEL_E_NOT_INDEPENDENT_X2_PHYSICAL_DATA
AGGREGATE,current_compiled_mjcf,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,MJCF_COMPILED,BASELINE_CURRENT,left_mass_kg,,,12.268144,,,,,,,,,,,,LEVEL_E_NOT_INDEPENDENT_X2_PHYSICAL_DATA
AGGREGATE,current_compiled_mjcf,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,MJCF_COMPILED,BASELINE_CURRENT,right_mass_kg,,,12.250455,,,,,,,,,,,,LEVEL_E_NOT_INDEPENDENT_X2_PHYSICAL_DATA
AGGREGATE,current_compiled_mjcf,C:\Users\xinga\Documents\Codex\2026-08-11\master-mujoco-agibot-x2-ultra-mujoco\Master_MuJoCo\assets\Master\ff_master_ultra.xml,MJCF_COMPILED,BASELINE_CURRENT,left_right_difference_kg,,,0.017689,,,,,,,,,,,,LEVEL_E_NOT_INDEPENDENT_X2_PHYSICAL_DATA
