controller,dataset,t,joint_name,plane,total_balance_request_nm,raw_desired_allocation_weight,raw_desired_allocation_nm,priority_and_preallocation_constraint_scaling,redistributed_allocation_weight,redistributed_allocation_nm,post_contact_scaling,post_limit_scaling,post_saturation_scaling,post_rate_scaling,final_allocation_nm
PHASE3AX_BASELINE,heart,-4.96,right_ankle_pitch_joint,pitch,-4.897206593602233,0.7,-3.428044615521563,1.0,0.7643678160919539,-3.743267108902856,1.0,1.0,1.0,0.1909881835222534,-0.7149197855679535
PHASE3AX_BASELINE,heart,-4.96,right_ankle_roll_joint,roll,0.6744710929578615,0.7,0.47212976507050297,1.0,0.7,0.4721297650705029,1.0,1.0,1.0,1.3333335702099869,0.6295064652638561
PHASE3AX_BASELINE,heart,-4.96,right_hip_pitch_joint,pitch,-4.897206593602233,0.1,-0.4897206593602233,1.0,0.0873563218390804,-0.4278019553031836,1.0,1.0,1.0,1.0,-0.4278019553031836
PHASE3AX_BASELINE,heart,-4.96,right_hip_roll_joint,roll,0.6744710929578615,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
PHASE3AX_BASELINE,heart,-4.96,right_knee_joint,pitch,-4.897206593602233,0.15,-0.7345809890403349,1.0,0.0982758620689655,-0.4812771997160814,1.0,1.0,1.0,1.0,-0.4812771997160814
PHASE3AX_BASELINE,heart,-4.96,waist_pitch_joint,pitch,-4.897206593602233,0.0,-0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
PHASE3AX_BASELINE,heart,-4.96,waist_roll_joint,roll,0.6744710929578615,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
PHASE3AX_BASELINE,heart,-4.94,left_ankle_pitch_joint,pitch,-5.847826688119598,0.7,-4.0934786816837185,1.0,0.7643678160919539,-4.469890514482221,1.0,1.0,1.0,0.3389165306531984,-1.514919785567954
PHASE3AX_BASELINE,heart,-4.94,left_ankle_roll_joint,roll,0.2586793247434001,0.7,0.18107552732038007,1.0,0.7,0.1810755273203801,1.0,1.0,1.0,1.0,0.1810755273203801
PHASE3AX_BASELINE,heart,-4.94,left_hip_pitch_joint,pitch,-5.847826688119598,0.1,-0.5847826688119598,1.0,0.0873563218390804,-0.5108446302265397,1.0,1.0,1.0,1.0,-0.5108446302265397
PHASE3AX_BASELINE,heart,-4.94,left_hip_roll_joint,roll,0.2586793247434001,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
PHASE3AX_BASELINE,heart,-4.94,left_knee_joint,pitch,-5.847826688119598,0.15,-0.8771740032179397,1.0,0.0982758620689655,-0.574700209004857,1.0,1.0,1.0,1.0,-0.574700209004857
PHASE3AX_BASELINE,heart,-4.94,right_ankle_pitch_joint,pitch,-5.847826688119598,0.7,-4.0934786816837185,1.0,0.7643678160919539,-4.469890514482221,1.0,1.0,1.0,0.3389165306531984,-1.514919785567954
PHASE3AX_BASELINE,heart,-4.94,right_ankle_roll_joint,roll,0.2586793247434001,0.7,0.18107552732038007,1.0,0.7,0.1810755273203801,1.0,1.0,1.0,1.0,0.1810755273203801
PHASE3AX_BASELINE,heart,-4.94,right_hip_pitch_joint,pitch,-5.847826688119598,0.1,-0.5847826688119598,1.0,0.0873563218390804,-0.5108446302265397,1.0,1.0,1.0,1.0,-0.5108446302265397
PHASE3AX_BASELINE,heart,-4.94,right_hip_roll_joint,roll,0.2586793247434001,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
PHASE3AX_BASELINE,heart,-4.94,right_knee_joint,pitch,-5.847826688119598,0.15,-0.8771740032179397,1.0,0.0982758620689655,-0.574700209004857,1.0,1.0,1.0,1.0,-0.574700209004857
PHASE3AX_BASELINE,heart,-4.94,waist_pitch_joint,pitch,-5.847826688119598,0.0,-0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
PHASE3AX_BASELINE,heart,-4.94,waist_roll_joint,roll,0.2586793247434001,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
PHASE3AX_BASELINE,heart,-4.92,left_ankle_pitch_joint,pitch,-5.192956302856352,0.7,-3.635069411999446,1.0,0.7643678160919539,-3.969328668275257,1.0,1.0,1.0,0.583201840671417,-2.3149197855679544
PHASE3AX_BASELINE,heart,-4.92,left_ankle_roll_joint,roll,1.5778036724268132,0.7,1.1044625706987692,1.0,0.7,1.1044625706987692,1.0,1.0,1.0,0.5578142049703205,0.6160849107938103
PHASE3AX_BASELINE,heart,-4.92,left_hip_pitch_joint,pitch,-5.192956302856352,0.1,-0.5192956302856352,1.0,0.0873563218390804,-0.4536375620886009,1.0,1.0,1.0,1.0,-0.4536375620886009
PHASE3AX_BASELINE,heart,-4.92,left_hip_roll_joint,roll,1.5778036724268132,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
PHASE3AX_BASELINE,heart,-4.92,left_knee_joint,pitch,-5.192956302856352,0.15,-0.7789434454284528,1.0,0.0982758620689655,-0.510342257349676,1.0,1.0,1.0,1.0,-0.510342257349676
PHASE3AX_BASELINE,heart,-4.92,right_ankle_pitch_joint,pitch,-5.192956302856352,0.7,-3.635069411999446,1.0,0.7643678160919539,-3.969328668275257,1.0,1.0,1.0,0.583201840671417,-2.3149197855679544
PHASE3AX_BASELINE,heart,-4.92,right_ankle_roll_joint,roll,1.5778036724268132,0.7,1.1044625706987692,1.0,0.7,1.1044625706987692,1.0,1.0,1.0,0.5578142049703205,0.6160849107938103
PHASE3AX_BASELINE,heart,-4.92,right_hip_pitch_joint,pitch,-5.192956302856352,0.1,-0.5192956302856352,1.0,0.0873563218390804,-0.4536375620886009,1.0,1.0,1.0,1.0,-0.4536375620886009
PHASE3AX_BASELINE,heart,-4.92,right_hip_roll_joint,roll,1.5778036724268132,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
PHASE3AX_BASELINE,heart,-4.92,right_knee_joint,pitch,-5.192956302856352,0.15,-0.7789434454284528,1.0,0.0982758620689655,-0.510342257349676,1.0,1.0,1.0,1.0,-0.510342257349676
PHASE3AX_BASELINE,heart,-4.92,waist_pitch_joint,pitch,-5.192956302856352,0.0,-0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
PHASE3AX_BASELINE,heart,-4.92,waist_roll_joint,roll,1.5778036724268132,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
PHASE3AX_BASELINE,heart,-4.9,left_ankle_pitch_joint,pitch,-3.2559755047143337,0.7,-2.2791828533000333,1.0,0.7643678160919539,-2.4887628857873927,1.0,1.0,1.0,1.076556567803438,-2.679294030399855
PHASE3AX_BASELINE,heart,-4.9,left_ankle_roll_joint,roll,1.251775807387078,0.7,0.8762430651709545,1.0,0.7,0.8762430651709545,1.0,1.0,1.0,1.021725122608138,0.8952795531963242
PHASE3AX_BASELINE,heart,-4.9,left_hip_pitch_joint,pitch,-3.2559755047143337,0.1,-0.3255975504714334,1.0,0.0873563218390804,-0.2844300440899878,1.0,1.0,1.0,1.0,-0.2844300440899878
PHASE3AX_BASELINE,heart,-4.9,left_hip_roll_joint,roll,1.251775807387078,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
PHASE3AX_BASELINE,heart,-4.9,left_knee_joint,pitch,-3.2559755047143337,0.15,-0.48839632570715,1.0,0.0982758620689655,-0.3199837996012362,1.0,1.0,1.0,1.0,-0.3199837996012362
PHASE3AX_BASELINE,heart,-4.9,right_ankle_pitch_joint,pitch,-3.2559755047143337,0.7,-2.2791828533000333,1.0,0.7643678160919539,-2.4887628857873927,1.0,1.0,1.0,1.076556567803438,-2.679294030399855
PHASE3AX_BASELINE,heart,-4.9,right_ankle_roll_joint,roll,1.251775807387078,0.7,0.8762430651709545,1.0,0.7,0.8762430651709545,1.0,1.0,1.0,1.021725122608138,0.8952795531963242
PHASE3AX_BASELINE,heart,-4.9,right_hip_pitch_joint,pitch,-3.2559755047143337,0.1,-0.3255975504714334,1.0,0.0873563218390804,-0.2844300440899878,1.0,1.0,1.0,1.0,-0.2844300440899878
PHASE3AX_BASELINE,heart,-4.9,right_hip_roll_joint,roll,1.251775807387078,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
PHASE3AX_BASELINE,heart,-4.9,right_knee_joint,pitch,-3.2559755047143337,0.15,-0.48839632570715,1.0,0.0982758620689655,-0.3199837996012362,1.0,1.0,1.0,1.0,-0.3199837996012362
PHASE3AX_BASELINE,heart,-4.9,waist_pitch_joint,pitch,-3.2559755047143337,0.0,-0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
PHASE3AX_BASELINE,heart,-4.9,waist_roll_joint,roll,1.251775807387078,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
PHASE3AX_BASELINE,heart,-4.88,left_ankle_pitch_joint,pitch,-1.847806640603117,0.7,-1.293464648422182,1.0,0.7643678160919539,-1.4124039264380146,1.0,1.0,1.0,1.3305641503980412,-1.8792940303998544
PHASE3AX_BASELINE,heart,-4.88,left_ankle_roll_joint,roll,0.7759648472210445,0.7,0.5431753930547312,1.0,0.7,0.5431753930547312,1.0,1.0,1.0,1.0,0.5431753930547312
PHASE3AX_BASELINE,heart,-4.88,left_hip_pitch_joint,pitch,-1.847806640603117,0.1,-0.1847806640603117,1.0,0.0873563218390804,-0.161417591592916,1.0,1.0,1.0,1.0,-0.161417591592916
PHASE3AX_BASELINE,heart,-4.88,left_hip_roll_joint,roll,0.7759648472210445,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
PHASE3AX_BASELINE,heart,-4.88,left_knee_joint,pitch,-1.847806640603117,0.15,-0.2771709960904675,1.0,0.0982758620689655,-0.1815947905420304,1.0,1.0,1.0,1.0,-0.1815947905420304
PHASE3AX_BASELINE,heart,-4.88,right_ankle_pitch_joint,pitch,-1.847806640603117,0.7,-1.293464648422182,1.0,0.7643678160919539,-1.4124039264380146,1.0,1.0,1.0,1.3305641503980412,-1.8792940303998544
PHASE3AX_BASELINE,heart,-4.88,right_ankle_roll_joint,roll,0.7759648472210445,0.7,0.5431753930547312,1.0,0.7,0.5431753930547312,1.0,1.0,1.0,1.0,0.5431753930547312
PHASE3AX_BASELINE,heart,-4.88,right_hip_pitch_joint,pitch,-1.847806640603117,0.1,-0.1847806640603117,1.0,0.0873563218390804,-0.161417591592916,1.0,1.0,1.0,1.0,-0.161417591592916
PHASE3AX_BASELINE,heart,-4.88,right_hip_roll_joint,roll,0.7759648472210445,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
PHASE3AX_BASELINE,heart,-4.88,right_knee_joint,pitch,-1.847806640603117,0.15,-0.2771709960904675,1.0,0.0982758620689655,-0.1815947905420304,1.0,1.0,1.0,1.0,-0.1815947905420304
PHASE3AX_BASELINE,heart,-4.88,waist_pitch_joint,pitch,-1.847806640603117,0.0,-0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
PHASE3AX_BASELINE,heart,-4.88,waist_roll_joint,roll,0.7759648472210445,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
PHASE3AX_BASELINE,heart,-4.86,left_ankle_pitch_joint,pitch,-1.2463641581890528,0.7,-0.8724549107323369,1.0,0.7643678160919539,-0.9526806496502528,1.0,1.0,1.0,1.1329022278305785,-1.0792940303998542
PHASE3AX_BASELINE,heart,-4.86,left_ankle_roll_joint,roll,0.6311246864805127,0.7,0.44178728053635885,1.0,0.7,0.4417872805363588,1.0,1.0,1.0,1.0,0.4417872805363588
PHASE3AX_BASELINE,heart,-4.86,left_hip_pitch_joint,pitch,-1.2463641581890528,0.1,-0.12463641581890528,1.0,0.0873563218390804,-0.1088777885314575,1.0,1.0,1.0,1.0,-0.1088777885314575
PHASE3AX_BASELINE,heart,-4.86,left_hip_roll_joint,roll,0.6311246864805127,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
PHASE3AX_BASELINE,heart,-4.86,left_knee_joint,pitch,-1.2463641581890528,0.15,-0.18695462372835792,1.0,0.0982758620689655,-0.1224875120978896,1.0,1.0,1.0,1.0,-0.1224875120978896
PHASE3AX_BASELINE,heart,-4.86,right_ankle_pitch_joint,pitch,-1.2463641581890528,0.7,-0.8724549107323369,1.0,0.7643678160919539,-0.9526806496502528,1.0,1.0,1.0,1.1329022278305785,-1.0792940303998542
PHASE3AX_BASELINE,heart,-4.86,right_ankle_roll_joint,roll,0.6311246864805127,0.7,0.44178728053635885,1.0,0.7,0.4417872805363588,1.0,1.0,1.0,1.0,0.4417872805363588
PHASE3AX_BASELINE,heart,-4.86,right_hip_pitch_joint,pitch,-1.2463641581890528,0.1,-0.12463641581890528,1.0,0.0873563218390804,-0.1088777885314575,1.0,1.0,1.0,1.0,-0.1088777885314575
PHASE3AX_BASELINE,heart,-4.86,right_hip_roll_joint,roll,0.6311246864805127,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
PHASE3AX_BASELINE,heart,-4.86,right_knee_joint,pitch,-1.2463641581890528,0.15,-0.18695462372835792,1.0,0.0982758620689655,-0.1224875120978896,1.0,1.0,1.0,1.0,-0.1224875120978896
PHASE3AX_BASELINE,heart,-4.86,waist_pitch_joint,pitch,-1.2463641581890528,0.0,-0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
PHASE3AX_BASELINE,heart,-4.86,waist_roll_joint,roll,0.6311246864805127,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
