experiment_id,family,parameter,level,parameter_value,normalized_parameter_change,hypothesis,classification,controller_mode,base_mode,contact_mode,dataset,stable_no_fall,safety_pass,contact_safety_pass,limit_management_pass,saturation_management_pass
bs_damping_005,JOINT_DAMPING,pitch_chain_damping_Nm_s_rad,low,0.05,0.5,Add low pitch-chain viscous damping from zero baseline,PHYSICAL_SENSITIVITY_EXPERIMENT_NOT_HARDWARE_CALIBRATION,FROZEN_PHASE3AY,FREE,RETAINED,heart,True,True,True,True,True
bs_damping_005,JOINT_DAMPING,pitch_chain_damping_Nm_s_rad,low,0.05,0.5,Add low pitch-chain viscous damping from zero baseline,PHYSICAL_SENSITIVITY_EXPERIMENT_NOT_HARDWARE_CALIBRATION,FROZEN_PHASE3AY,FREE,RETAINED,wave,True,True,True,True,True
bs_damping_015,JOINT_DAMPING,pitch_chain_damping_Nm_s_rad,high,0.15,1.5,Add moderate pitch-chain viscous damping from zero baseline,PHYSICAL_SENSITIVITY_EXPERIMENT_NOT_HARDWARE_CALIBRATION,FROZEN_PHASE3AY,FREE,RETAINED,heart,True,True,True,True,True
bs_damping_015,JOINT_DAMPING,pitch_chain_damping_Nm_s_rad,high,0.15,1.5,Add moderate pitch-chain viscous damping from zero baseline,PHYSICAL_SENSITIVITY_EXPERIMENT_NOT_HARDWARE_CALIBRATION,FROZEN_PHASE3AY,FREE,RETAINED,wave,True,True,True,True,True
bs_armature_minus20,ARMATURE,pitch_chain_armature_scale,minus,0.8,-0.2,Reduce pitch-chain numerical armature,PHYSICAL_SENSITIVITY_EXPERIMENT_NOT_HARDWARE_CALIBRATION,FROZEN_PHASE3AY,FREE,RETAINED,heart,True,True,True,True,True
bs_armature_minus20,ARMATURE,pitch_chain_armature_scale,minus,0.8,-0.2,Reduce pitch-chain numerical armature,PHYSICAL_SENSITIVITY_EXPERIMENT_NOT_HARDWARE_CALIBRATION,FROZEN_PHASE3AY,FREE,RETAINED,wave,True,True,True,True,True
bs_armature_plus20,ARMATURE,pitch_chain_armature_scale,plus,1.2,0.2,Increase pitch-chain numerical armature,PHYSICAL_SENSITIVITY_EXPERIMENT_NOT_HARDWARE_CALIBRATION,FROZEN_PHASE3AY,FREE,RETAINED,heart,True,True,True,True,True
bs_armature_plus20,ARMATURE,pitch_chain_armature_scale,plus,1.2,0.2,Increase pitch-chain numerical armature,PHYSICAL_SENSITIVITY_EXPERIMENT_NOT_HARDWARE_CALIBRATION,FROZEN_PHASE3AY,FREE,RETAINED,wave,True,True,True,True,True
bs_friction_minus10,CONTACT_FRICTION,floor_and_foot_friction_scale,minus,0.9,-0.1,Reduce existing floor/foot friction coefficients,PHYSICAL_SENSITIVITY_EXPERIMENT_NOT_HARDWARE_CALIBRATION,FROZEN_PHASE3AY,FREE,RETAINED,heart,True,True,True,True,True
bs_friction_minus10,CONTACT_FRICTION,floor_and_foot_friction_scale,minus,0.9,-0.1,Reduce existing floor/foot friction coefficients,PHYSICAL_SENSITIVITY_EXPERIMENT_NOT_HARDWARE_CALIBRATION,FROZEN_PHASE3AY,FREE,RETAINED,wave,True,True,True,True,True
bs_friction_plus10,CONTACT_FRICTION,floor_and_foot_friction_scale,plus,1.1,0.1,Increase existing floor/foot friction coefficients,PHYSICAL_SENSITIVITY_EXPERIMENT_NOT_HARDWARE_CALIBRATION,FROZEN_PHASE3AY,FREE,RETAINED,heart,True,True,True,True,True
bs_friction_plus10,CONTACT_FRICTION,floor_and_foot_friction_scale,plus,1.1,0.1,Increase existing floor/foot friction coefficients,PHYSICAL_SENSITIVITY_EXPERIMENT_NOT_HARDWARE_CALIBRATION,FROZEN_PHASE3AY,FREE,RETAINED,wave,True,True,True,True,True
bs_compliance_stiffer10,CONTACT_COMPLIANCE,floor_and_foot_solref_timeconst_scale,minus,0.9,-0.1,Reduce contact time constant (stiffer diagnostic direction),PHYSICAL_SENSITIVITY_EXPERIMENT_NOT_HARDWARE_CALIBRATION,FROZEN_PHASE3AY,FREE,RETAINED,heart,True,True,True,True,True
bs_compliance_stiffer10,CONTACT_COMPLIANCE,floor_and_foot_solref_timeconst_scale,minus,0.9,-0.1,Reduce contact time constant (stiffer diagnostic direction),PHYSICAL_SENSITIVITY_EXPERIMENT_NOT_HARDWARE_CALIBRATION,FROZEN_PHASE3AY,FREE,RETAINED,wave,True,True,True,True,True
bs_compliance_softer10,CONTACT_COMPLIANCE,floor_and_foot_solref_timeconst_scale,plus,1.1,0.1,Increase contact time constant (softer diagnostic direction),PHYSICAL_SENSITIVITY_EXPERIMENT_NOT_HARDWARE_CALIBRATION,FROZEN_PHASE3AY,FREE,RETAINED,heart,True,True,True,True,True
bs_compliance_softer10,CONTACT_COMPLIANCE,floor_and_foot_solref_timeconst_scale,plus,1.1,0.1,Increase contact time constant (softer diagnostic direction),PHYSICAL_SENSITIVITY_EXPERIMENT_NOT_HARDWARE_CALIBRATION,FROZEN_PHASE3AY,FREE,RETAINED,wave,True,True,True,True,True
bs_decomp_balance_disabled,BASELINE,balance_feedback,disabled,1.0,0.0,Free-base arm replay without balance feedback,PHYSICAL_SENSITIVITY_EXPERIMENT_NOT_HARDWARE_CALIBRATION,BALANCE_DISABLED_DIAGNOSTIC,FREE,RETAINED,wave,False,False,,,
bs_decomp_knee_actuator_disabled,BASELINE,knee_actuator_channel,disabled,1.0,0.0,Free-base arm replay with knee actuator command zeroed,PHYSICAL_SENSITIVITY_EXPERIMENT_NOT_HARDWARE_CALIBRATION,KNEE_ACTUATOR_DISABLED_DIAGNOSTIC,FREE,RETAINED,wave,False,False,,,
bs_decomp_fixed_base,BASELINE,base_constraint,fixed,1.0,0.0,Arm reference with fixed base,PHYSICAL_SENSITIVITY_EXPERIMENT_NOT_HARDWARE_CALIBRATION,FROZEN_PHASE3AY,FIXED,RETAINED,wave,True,,,,
bs_decomp_fixed_contact_free,CONTACT_FREE_DIAGNOSTIC,floor_contact,disabled,1.0,0.0,Fixed-base contact-free diagnostic,PHYSICAL_SENSITIVITY_EXPERIMENT_NOT_HARDWARE_CALIBRATION,FROZEN_PHASE3AY,FIXED,DISABLED_DIAGNOSTIC,wave,True,,,,
